#{"t_start": 1756517235.4149468, "env_id": "None"}
r,l,t
0.5,2,9.080155
0.2,5,9.080155
1.3,2,9.080155
1.3,2,9.089011
0.4,6,9.09375
0.5,2,9.09375
4.2,17,9.1103
2.2,13,9.115197
1.0,9,9.12431
1.4,7,9.12431
4.8,18,9.140933
1.3,2,9.140933
1.3,2,9.155509
1.3,2,9.157274
1.3,2,9.160415
2.2,15,9.178142
1.3,2,9.178142
0.2,3,9.180157
-0.5,3,9.180157
8.2,29,9.207336
0.4,8,9.218799
6.0,18,9.235756
2.5,16,9.248446
1.0,5,9.257349
2.7,11,9.262138
11.2,34,9.296909
-0.2,3,9.296909
1.2,4,9.296909
1.3,2,9.296909
1.3,2,9.296909
-0.1,5,9.306928
0.2,5,9.306928
7.7,24,9.333467
4.2,9,9.340511
-0.5,5,9.340511
-1.0,1,9.340511
1.2,6,9.352741
-1.0,1,9.35449
-1.0,1,9.35449
-0.5,3,9.35449
0.5,2,9.362548
3.4,11,9.370416
2.2,13,9.386527
0.1,2,9.386527
0.2,3,9.386527
1.2,8,9.386527
3.6,8,9.402187
-1.2,4,9.410405
3.0,11,9.427611
1.0,5,9.427611
0.0,6,9.437474
-0.6,3,9.441493
8.6,21,9.455591
0.4,8,9.455591
4.6,9,9.471296
-0.5,3,9.471296
-0.5,5,9.471296
0.5,2,9.471296
0.5,2,9.486959
5.4,15,9.486959
1.8,11,9.514483
-0.6,9,9.516493
0.5,2,9.516493
-0.6,3,9.530149
3.4,11,9.533478
-1.4,7,9.543056
4.4,14,9.559211
-1.1,4,9.559211
0.9,6,9.574337
0.9,6,9.582319
-0.4,6,9.585079
0.5,2,9.590225
-1.0,1,9.591685
1.0,7,9.600931
7.8,21,9.623722
2.0,4,9.626738
10.8,25,9.63921
0.5,2,9.63921
4.4,10,9.655127
-1.0,5,9.655127
-0.3,4,9.66876
-1.0,1,9.66876
-0.2,9,9.670818
1.3,2,9.670818
0.1,2,9.670818
0.5,8,9.686617
0.5,2,9.686617
10.8,25,9.702262
0.1,2,9.710344
6.0,26,9.732324
4.0,16,9.737926
10.6,33,9.779919
0.1,2,9.779919
1.3,2,9.78366
1.2,4,9.785346
2.7,13,9.79569
1.3,2,9.79569
1.8,9,9.811816
7.5,25,9.836026
0.2,11,9.843727
